En,ADP,en
eso,PRON,ese
como,SCONJ,como
en,ADP,en
todo,PRON,todo
hay,AUX,haber
un,DET,uno
secreto,NOUN,secreto
muy,ADV,mucho
convincente,ADJ,convincente
.,PUNCT,.
Y,CCONJ,y
es,AUX,ser
que,SCONJ,que
-,PUNCT,-
una,DET,uno
vez,NOUN,vez
efectuado,ADJ,efectuado
-,PUNCT,-
se,PRON,él
prenda,VERB,prender
fuego,NOUN,fuego
al,ADP,al
conjunto,NOUN,conjunto
",",PUNCT,","
para,ADP,para
",",PUNCT,","
al,ADP,al
fulgor,NOUN,fulgor
de,ADP,de
las,DET,el
llamas,NOUN,llama
",",PUNCT,","
celebrar,VERB,celebrar
un,DET,uno
rito,NOUN,rito
ancestral,ADJ,ancestral
con,ADP,con
la,DET,el
mente,NOUN,mente
en,ADP,en
blanco,NOUN,blanco
.,PUNCT,.
Al,ADP,al
otro,DET,otro
día,NOUN,día
se,PRON,él
desempolvan,VERB,desempolvar
sonoros,ADJ,sonoro
clarines,NOUN,clarín
para,ADP,para
lanzar,VERB,lanzar
un,DET,uno
plan,NOUN,plan
para,ADP,para
Lejano,PROPN,Lejano
Oriente,PROPN,Oriente
que,PRON,que
será,AUX,ser
el,DET,el
asombro,NOUN,asombro
de,ADP,de
Damasco,PROPN,Damasco
o,CCONJ,o
de,ADP,de
Shanghái,PROPN,Shanghái
ante,ADP,ante
la,DET,el
sorpresa,NOUN,sorpresa
de,ADP,de
los,DET,el
empresarios,NOUN,empresario
y,CCONJ,y
de,ADP,de
los,DET,el
representantes,NOUN,representante
",",PUNCT,","
héroes,NOUN,héroe
anónimos,ADJ,anónimo
del,ADP,del
catálogo,NOUN,catálogo
y,CCONJ,y
la,DET,el
comisión,NOUN,comisión
",",PUNCT,","
inventores,NOUN,inventor
geniales,ADJ,genial
del,ADP,del
Chupa-Chups,PROPN,Chupa-Chups
y,CCONJ,y
de,ADP,de
la,DET,el
fregona,NOUN,fregona
Vileda,PROPN,Vileda
.,PUNCT,.
El,DET,el
entrenador,NOUN,entrenador
del,ADP,del
Celta,PROPN,Celta
",",PUNCT,","
Víctor,PROPN,Víctor
Fernández,PROPN,Fernández
",",PUNCT,","
ha,AUX,haber
manifestado,VERB,manifestar
hoy,ADV,hoy
a,ADP,a
EFE,PROPN,EFE
que,SCONJ,que
su,DET,su
equipo,NOUN,equipo
"""",PUNCT,""""
no,ADV,no
renuncia,VERB,renunciar
a,ADP,a
nada,PRON,nada
"""",PUNCT,""""
en,ADP,en
el,DET,el
enfrentamiento,NOUN,enfrentamiento
de,ADP,de
Liga,PROPN,Liga
del,ADP,del
domingo,NOUN,domingo
ante,ADP,ante
el,DET,el
Real,PROPN,Real
Madrid,PROPN,Madrid
en,ADP,en
el,DET,el
Santiago,PROPN,Santiago
Bernabéu,PROPN,Bernabéu
.,PUNCT,.
Agassi,PROPN,Agassi
",",PUNCT,","
que,PRON,que
no,ADV,no
ha,AUX,haber
tenido,VERB,tener
su,DET,su
mejor,ADJ,mejor
año,NOUN,año
deportivo,ADJ,deportivo
ni,CCONJ,ni
en,ADP,en
el,DET,el
capítulo,NOUN,capítulo
personal,ADJ,personal
",",PUNCT,","
estuvo,VERB,estar
en,ADP,en
Houston,PROPN,Houston
para,ADP,para
participar,VERB,participar
en,ADP,en
varios,DET,varios
partidos,NOUN,partido
de,ADP,de
exhibición,NOUN,exhibición
junto,ADJ,junto
a,ADP,a
otros,DET,otro
famosos,ADJ,famoso
del,ADP,del
deporte,NOUN,deporte
como,SCONJ,como
Clyde,PROPN,Clyde
Drexler,PROPN,Drexler
y,CCONJ,y
Charles,PROPN,Charles
Barkley,PROPN,Barkley
",",PUNCT,","
que,PRON,que
le,PRON,él
permitieron,VERB,permitir
incrementar,VERB,incrementar
los,DET,el
fondos,NOUN,fondo
de,ADP,de
su,DET,su
organización,NOUN,organización
benéfica,ADJ,benéfico
"""",PUNCT,""""
Andre,PROPN,Andre
Agassi,PROPN,Agassi
Charitable,PROPN,Charitable
Foundation,PROPN,Foundation
"""",PUNCT,""""
",",PUNCT,","
dedicada,ADJ,dedicado
a,ADP,a
ayudar,VERB,ayudar
a,ADP,a
los,DET,el
niños,NOUN,niño
más,ADV,más
necesitados,ADJ,necesitado
.,PUNCT,.
La,DET,el
compañía,NOUN,compañía
ha,AUX,haber
sumado,VERB,sumar
a,ADP,a
su,DET,su
contabilidad,NOUN,contabilidad
la,DET,el
venta,NOUN,venta
en,ADP,en
bolsa,NOUN,bolsa
de,ADP,de
la,DET,el
filial,NOUN,filial
de,ADP,de
móviles,NOUN,móvil
.,PUNCT,.
En,ADP,en
13,NUM,13
supuestos,NOUN,supuesto
se,PRON,él
acordó,VERB,acordar
el,DET,el
año,NOUN,año
pasado,ADJ,pasado
el,DET,el
establecimiento,NOUN,establecimiento
de,ADP,de
un,DET,uno
servicio,NOUN,servicio
policial,ADJ,policial
de,ADP,de
vigilancia,NOUN,vigilancia
y,CCONJ,y
protección,NOUN,protección
personal,ADJ,personal
de,ADP,de
la,DET,el
víctima,NOUN,víctima
.,PUNCT,.
"""",PUNCT,""""
Preferimos,VERB,preferir
que,SCONJ,que
suban,VERB,subir
el,DET,el
IAE,PROPN,IAE
"""",PUNCT,""""
El,DET,el
representante,NOUN,representante
de,ADP,de
Pimecsefes,PROPN,Pimecsefes
declaró,VERB,declarar
a,ADP,a
Efe,PROPN,Efe
:,PUNCT,:
"""",PUNCT,""""
El,DET,el
Gobierno,PROPN,Gobierno
nos,PRON,yo
hacía,VERB,hacer
planteamientos,NOUN,planteamiento
positivos,ADJ,positivo
",",PUNCT,","
como,SCONJ,como
la,DET,el
rebaja,NOUN,rebaja
del,ADP,del
IAE,PROPN,IAE
",",PUNCT,","
pero,CCONJ,pero
nunca,ADV,nunca
habló,VERB,hablar
de,ADP,de
los,DET,el
horarios,NOUN,horario
comerciales,ADJ,comercial
;,PUNCT,;
nosotros,PRON,yo
preferimos,VERB,preferir
que,SCONJ,que
nos,PRON,yo
suban,VERB,subir
el,DET,el
IAE,PROPN,IAE
",",PUNCT,","
pero,CCONJ,pero
no,ADV,no
que,SCONJ,que
nos,PRON,yo
cambien,VERB,cambiar
el,DET,el
actual,ADJ,actual
sistema,NOUN,sistema
de,ADP,de
horarios,NOUN,horario
"""",PUNCT,""""
.,PUNCT,.
En,ADP,en
su,DET,su
editorial,NOUN,editorial
",",PUNCT,","
subraya,VERB,subrayar
que,SCONJ,que
"""",PUNCT,""""
esta,DET,este
nueva,ADJ,nuevo
muerte,NOUN,muerte
acentúa,VERB,acentuar
todavía,ADV,todavía
más,ADV,más
el,DET,el
fatalismo,NOUN,fatalismo
"""",PUNCT,""""
",",PUNCT,","
porque,SCONJ,porque
"""",PUNCT,""""
desgraciadamente,ADV,desgraciadamente
todas,DET,todo
las,DET,el
opciones,NOUN,opción
democráticas,ADJ,democrático
han,AUX,haber
perdido,VERB,perder
protagonismo,NOUN,protagonismo
",",PUNCT,","
el,DET,el
fatalismo,NOUN,fatalismo
crece,VERB,crecer
en,ADP,en
las,DET,el
calles,NOUN,calle
del,ADP,del
País,PROPN,País
Vasco,PROPN,Vasco
al,ADP,al
lado,NOUN,lado
del,DET,del
miedo,NOUN,miedo
y,CCONJ,y
la,DET,el
crispación,NOUN,crispación
"""",PUNCT,""""
y,CCONJ,y
añade,VERB,añadir
"""",PUNCT,""""
con,ADP,con
el,DET,el
asesinato,NOUN,asesinato
de,ADP,de
Jesús,PROPN,Jesús
María,PROPN,María
Pedrosa,PROPN,Pedrosa
ETA,PROPN,ETA
retoma,VERB,retomar
la,DET,el
ofensiva,NOUN,ofensiva
contra,ADP,contra
el,DET,el
PP,PROPN,PP
.,PUNCT,.
La,DET,el
polémica,NOUN,polémica
entre,ADP,entre
ambos,NUM,ambos
países,NOUN,país
se,PRON,él
inició,VERB,iniciar
en,ADP,en
1996,NUM,1996
y,CCONJ,y
ha,AUX,haber
sido,AUX,ser
fuente,NOUN,fuente
de,ADP,de
profundas,ADJ,profundo
desavenencias,NOUN,desavenencia
tanto,ADV,tanto
en,ADP,en
la,DET,el
interpretación,NOUN,interpretación
de,ADP,de
los,DET,el
acuerdos,NOUN,acuerdo
bilaterales,ADJ,bilateral
como,SCONJ,como
en,ADP,en
las,DET,el
normas,NOUN,norma
del,ADP,del
sistema,NOUN,sistema
de,ADP,de
solución,NOUN,solución
de,ADP,de
disputas,NOUN,disputa
de,ADP,de
la,DET,el
OMC,PROPN,OMC
.,PUNCT,.
El,DET,el
centrocampista,NOUN,centrocampista
venezolano,ADJ,venezolano
Juan,PROPN,Juan
Carlos,PROPN,Carlos
Socorro,PROPN,Socorro
",",PUNCT,","
que,PRON,que
milita,VERB,militar
en,ADP,en
la,DET,el
Unión,PROPN,Unión
Deportiva,PROPN,Deportiva
Las,DET,el
Palmas,PROPN,Palmas
",",PUNCT,","
recién,ADV,recién
ascendido,ADJ,ascendido
a,ADP,a
la,DET,el
Primera,PROPN,Primera
División,PROPN,División
",",PUNCT,","
fue,AUX,ser
convocado,VERB,convocar
por,ADP,por
su,DET,su
selección,NOUN,selección
para,ADP,para
jugar,VERB,jugar
el,DET,el
amistoso,ADJ,amistoso
ante,ADP,ante
Panamá,PROPN,Panamá
y,CCONJ,y
contra,ADP,contra
Bolivia,PROPN,Bolivia
",",PUNCT,","
correspondiente,ADJ,correspondiente
a,ADP,a
las,DET,el
eliminatorias,NOUN,eliminatoria
sudamericanas,ADJ,sudamericano
previas,ADJ,previo
al,ADP,al
Mundial'2002,PROPN,Mundial'2002
.,PUNCT,.
Alcober,PROPN,Alcober
promete,VERB,prometer
que,SCONJ,que
las,DET,el
mejoras,NOUN,mejora
concretas,ADJ,concreto
que,PRON,que
el,DET,el
ayuntamiento,NOUN,ayuntamiento
lleva,VERB,llevar
a,ADP,a
cabo,NOUN,cabo
en,ADP,en
la,DET,el
zona,NOUN,zona
cambiarán,VERB,cambiar
el,DET,el
aspecto,NOUN,aspecto
de,ADP,de
las,DET,el
calles,NOUN,calle
de,ADP,de
Antoni,PROPN,Antoni
de,ADP,de
Capmany,PROPN,Capmany
y,CCONJ,y
Jocs,PROPN,Jocs
Floras,PROPN,Floras
y,CCONJ,y
su,DET,su
entorno,NOUN,entorno
inmediato,ADJ,inmediato
.,PUNCT,.
No,ADV,no
",",PUNCT,","
en,ADP,en
absoluto,NOUN,absoluto
.,PUNCT,.
De,ADP,de
ahí,ADV,ahí
ese,DET,ese
constante,ADJ,constante
fluir,NOUN,fluir
de,ADP,de
noticias,NOUN,noticia
con,ADP,con
un,DET,uno
barniz,NOUN,barniz
científico,ADJ,científico
y,CCONJ,y
no,ADV,no
demostradas,ADJ,demostrado
.,PUNCT,.
Antes,ADV,antes
de,ADP,de
abrazar,VERB,abrazar
a,ADP,a
su,DET,su
padre,NOUN,padre
",",PUNCT,","
Karenna,PROPN,Karenna
Gore,PROPN,Gore
Schiff,PROPN,Schiff
aseguró,VERB,asegurar
esta,DET,este
noche,NOUN,noche
que,SCONJ,que
"""",PUNCT,""""
no,ADV,no
os,PRON,tú
pido,VERB,pedir
que,SCONJ,que
apoyéis,VERB,apoyar
a,ADP,a
Al,ADP,Al
Gore,PROPN,Gore
porque,SCONJ,porque
sea,AUX,ser
mi,DET,mi
padre,NOUN,padre
",",PUNCT,","
ni,CCONJ,ni
siquiera,ADV,siquiera
porque,SCONJ,porque
