La,DET,el
contratación,NOUN,contratación
será,AUX,ser
a,ADP,a
jornada,NOUN,jornada
completa,ADJ,completo
",",PUNCT,","
de,ADP,de
Lunes,NOUN,lunes
a,ADP,a
Domingo,PROPN,Domingo
",",PUNCT,","
con,ADP,con
los,DET,el
descansos,NOUN,descanso
establecidos,ADJ,establecido
por,ADP,por
la,DET,el
ley,NOUN,ley
y,CCONJ,y
las,DET,el
tareas,NOUN,tarea
a,ADP,a
desarrollar,VERB,desarrollar
serán,AUX,ser
las,DET,el
propias,ADJ,propio
para,ADP,para
el,DET,el
desarrollo,NOUN,desarrollo
de,ADP,de
las,DET,el
funciones,NOUN,función
propias,ADJ,propio
de,ADP,de
un,DET,uno
socorrista,NOUN,socorrista
",",PUNCT,","
como,SCONJ,como
son,AUX,ser
el,DET,el
salvamento,NOUN,salvamento
acuático,ADJ,acuático
y,CCONJ,y
primeros,ADJ,primero
auxilios,NOUN,auxilio
",",PUNCT,","
así,ADV,así
como,SCONJ,como
también,ADV,también
el,DET,el
control,NOUN,control
y,CCONJ,y
vigilancia,NOUN,vigilancia
de,ADP,de
la,DET,el
piscina,NOUN,piscina
y,CCONJ,y
de,ADP,de
las,DET,el
normas,NOUN,norma
establecidas,ADJ,establecido
.,PUNCT,.
Mota,PROPN,Mota
trabaja,VERB,trabajar
junto,ADJ,junto
a,ADP,a
Amaury,PROPN,Amaury
Pi,PROPN,Pi
-,PUNCT,-
González,PROPN,González
en,ADP,en
la,DET,el
cabina,NOUN,cabina
de,ADP,de
transmisión,NOUN,transmisión
en,ADP,en
español,NOUN,español
y,CCONJ,y
junto,ADJ,junto
a,ADP,a
Mark,PROPN,Mark
Gubicza,PROPN,Gubicza
en,ADP,en
inglés,NOUN,inglés
.,PUNCT,.
Todos,DET,todo
estos,DET,este
títulos,NOUN,título
fueron,AUX,ser
posteriormente,ADV,posteriormente
publicados,VERB,publicar
como,SCONJ,como
novelas,NOUN,novela
gráficas,ADJ,gráfico
.,PUNCT,.
Según,ADP,según
sus,DET,su
creadores,NOUN,creador
",",PUNCT,","
la,DET,el
idea,NOUN,idea
del,ADP,del
festival,NOUN,festival
es,AUX,ser
lograr,VERB,lograr
un,DET,uno
encuentro,NOUN,encuentro
entre,ADP,entre
los,DET,el
escritores,NOUN,escritor
",",PUNCT,","
los,DET,el
libros,NOUN,libro
y,CCONJ,y
los,DET,el
lectores,NOUN,lector
",",PUNCT,","
superando,VERB,superar
las,DET,el
barreras,NOUN,barrera
entre,ADP,entre
diversas,DET,diverso
disciplinas,NOUN,disciplina
artísticas,ADJ,artístico
con,ADP,con
el,DET,el
nexo,NOUN,nexo
común,ADJ,común
de,ADP,de
la,DET,el
literatura,NOUN,literatura
.,PUNCT,.
Su,DET,su
economía,NOUN,economía
permaneció,VERB,permanecer
estable,ADJ,estable
durante,ADP,durante
esos,DET,ese
diez,NUM,diez
años,NOUN,año
",",PUNCT,","
luego,ADV,luego
enfrentó,VERB,enfrentar
dificultades,NOUN,dificultad
a,ADP,a
causa,NOUN,causa
de,ADP,de
la,DET,el
guerra,NOUN,guerra
lo,PRON,él
cual,PRON,cual
condujo,VERB,conducir
a,ADP,a
un,DET,uno
proceso,NOUN,proceso
de,ADP,de
crecimiento,NOUN,crecimiento
inestable,ADJ,inestable
",",PUNCT,","
altos,ADJ,alto
déficits,NOUN,déficit
en,ADP,en
el,DET,el
presupuesto,NOUN,presupuesto
",",PUNCT,","
elevada,ADJ,elevado
inflación,NOUN,inflación
y,CCONJ,y
deficits,NOUN,deficits
en,ADP,en
la,DET,el
balanza,NOUN,balanza
comercial,ADJ,comercial
.,PUNCT,.
Camelot,PROPN,Camelot
había,AUX,haber
estado,AUX,estar
trabajando,VERB,trabajar
en,ADP,en
una,DET,uno
versión,NOUN,versión
previa,ADJ,previo
de,ADP,de
Mario,PROPN,Mario
Tennis,PROPN,Tennis
para,ADP,para
la,DET,el
consola,NOUN,consola
Nintendo,PROPN,Nintendo
GameCube,PROPN,GameCube
",",PUNCT,","
sin,ADP,sin
embargo,NOUN,embargo
pausó,VERB,pausar
el,DET,el
proyecto,NOUN,proyecto
para,ADP,para
reiniciarlo,VERB,reiniciar él
desde,ADP,desde
cero,NOUN,cero
",",PUNCT,","
esta,DET,este
vez,NOUN,vez
usando,VERB,usar
ideas,NOUN,idea
y,CCONJ,y
tecnología,NOUN,tecnología
provenientes,ADJ,proveniente
de,ADP,de
Mario,PROPN,Mario
Golf,PROPN,Golf
:,PUNCT,:
Toadstool,PROPN,Toadstool
Tour,PROPN,Tour
",",PUNCT,","
el,DET,el
cual,PRON,cual
se,PRON,él
desarrolló,VERB,desarrollar
de,ADP,de
manera,NOUN,manera
simultánea,ADJ,simultáneo
a,ADP,a
Power,PROPN,Power
Tennis,PROPN,Tennis
.,PUNCT,.
El,DET,el
virus,NOUN,virus
AH1N1,PROPN,AH1N1
se,PRON,él
descubrió,VERB,descubrir
en,ADP,en
abril,NOUN,abril
del,ADP,del
año,NOUN,año
pasado,ADJ,pasado
en,ADP,en
Norteamérica,PROPN,Norteamérica
y,CCONJ,y
se,PRON,él
convirtió,VERB,convertir
